Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,Essie,Peach Daiquiri,Pink,Creme,https://www.essie.com/nail-polish/enamel/corals/peach-daiquiri,,,
,Essie,Sable Collar,Purple,Shimmer,http://addictedtopolish.blogspot.com/2014/12/essie-sable-collar.html?m=1,,,
,Essie,Size Matters,Red,"Creme, Mini",https://curbappealnails.blogspot.com/search?q=size+matters,,,
,Essie,Tart Deco,Orange,Creme,https://www.cindyscutecorner.com/essie-tart-deco-swatch/,,,
,Essie,The Girls Are Out,Pink,"Crelly, Shimmer",http://www.imperfectlypainted.com/2013/07/essie-girls-are-out.html,2,A,"actually really like the skinny brush for pedicure application, applies so easily"
,Essie,The Lace Is On,Purple,"Duochrome, Shimmer",https://curbappealnails.blogspot.com/2014/07/essie-lace-is-on.html,,,
,Essie,Toggle to the Top,Red,Glitter,http://ommorphiabeautybar.com/tag/essie-toggle-to-the-top/,,,
,Essie,Wicked,Red,"Jelly, Mini",https://nazsnails.blogspot.com/2012/12/essie-wicked.html,,,
,Essie Gel Couture,Twill Seeker,Purple,Shimmer,http://nailtastic.blogspot.com/2016/06/essie-twill-seeker.html,,,
,Essie Luxeffects,A Cut Above,Pink,"Chunky Glitter, Topper",https://thelacquerlounge.blogspot.com/2011/12/essie-cut-above-luxeffects-collection.html,,,
,Essie Luxeffects,Rock at the Top,Gold,"Chunky Glitter, Mini",http://mylifeinturquoise.blogspot.com/2014/10/essie-luxeffects-2014-rock-at-top.html?m=1,,,
,Essie Luxeffects,Set in Stones,Silver,"Chunky Glitter, Topper",https://kakinenailart.blogspot.com/2014/02/essie-set-in-stones-luxeffects-2013.html,,,
,Essie Luxeffects,Summit of Style,Gold,"Chunky Glitter, Mini",http://nailsalwayspolished.blogspot.com/2014/11/essie-summit-of-style.html,,,
,Expressie,Notifications On,Red,Creme,https://www.essie.com/nail-polish/quick-dry/reds/notifications-on,,,
,Fancy Gloss,Silver Lotus,Multi,"Thermal, Linear Holo",https://curbappealnails.blogspot.com/2015/04/chevron-nails-fancy-gloss-silver-lotus-a-england-dorian-gray.html,,,
,Forever 21,Grey/Multi,Gray,Glitter,,,,
,Forever 21,Light Blue/Black,Blue,Glitter,https://nailsmydreams.blogspot.com/2015/04/forever-21-speckled-nail-polishes-light.html,,,
,Formula X,Base Coat,Clear,"Base Coat, Mini",,,,
